statefp,countyfp,n_streets,conf_streets_surname,conf_streets_both
45,001,1520,24,0
45,003,7097,84,32
45,005,941,11,0
45,007,8478,52,0
45,009,1337,4,0
45,011,1407,10,0
45,013,8411,52,4
45,015,8156,38,0
45,017,1137,8,0
45,019,13900,34,2
45,021,2767,15,0
45,023,2025,10,0
45,025,2793,29,0
45,027,1720,17,0
45,029,2471,10,4
45,031,3186,17,0
45,033,1579,13,0
45,035,4379,14,0
45,037,1114,3,0
45,039,1434,6,0
45,041,5378,39,1
45,043,3787,8,0
45,045,16952,190,109
45,047,2928,15,0
45,049,1473,13,1
45,051,12826,33,0
45,053,1763,11,0
45,055,2509,34,11
45,057,3565,35,0
45,059,3976,25,2
45,061,1009,24,0
45,063,8737,50,0
45,065,1221,9,0
45,067,2276,20,0
45,069,1583,12,0
45,071,2296,5,0
45,073,7519,48,2
45,075,5176,17,1
45,077,6275,24,0
45,079,11859,91,0
45,081,1275,6,0
45,083,11923,100,37
45,085,4475,17,0
45,087,1599,17,0
45,089,1660,8,0
45,091,8534,36,1
